objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
clt001,,The Hull-House Players will present John Ferguson,St. John Irvine; Laura Dainty Pelham,1921,Historic program for the Hull House Theater's production of John Ferguson by St. John Ervine during their 1921-1922 season.,program,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/7079/rec/11"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",multiple,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7079/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7079/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7079/default.jpg,,
clt001a,clt001,The Hull-House Players will present John Ferguson,St. John Irvine; Laura Dainty Pelham,1921,Historic program for the Hull House Theater's production of John Ferguson by St. John Ervine during their 1921-1922 season.,program,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/7079/rec/11"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7079/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7079/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7079/default.jpg,,
clt001b,clt001,The Hull-House Players will present John Ferguson,St. John Irvine; Laura Dainty Pelham,1921,Historic program for the Hull House Theater's production of John Ferguson by St. John Ervine during their 1921-1922 season.,program,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/7079/rec/11"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7080/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7080/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/7080/default.jpg,,
clt002,,Hull House Theater presents Suffrage and Love,"Duchess de Cajenello; August Strindberg;
Mr. Wm. M. Payne; Nancie Chapin",1920,Historic playbill for the Hull House Theater's production of Suffrage and Love by Duchess de Cajenello and Samun by August Strindberg,playbill,Hull House Theater,41.87164859,-87.64735001,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5681/rec/2"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5681/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5681/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5681/default.jpg,,
clt003,,"Chicago Little Theatre, Evening with Columbine (October 21, 1913)","Reginald Arkell;
Oliphant Down;
Martyn Johnson; Maurice Brown; Ellen Van Volkenburg","October 21, 1913","Historic program from the second season of the Chicago Little Theatre during which they put on Columbine by Reginald Arkell, The Maker of Dreams by Oliphant Down, and Mr. and Mrs. P. Roe by Martyn Johnson",program,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago Theater Collection-Historic Programs, Chicago Public Library",,Image;StillImage,application/pdf,eng,"Public domain, Accessed at <a href=""https://cdm16818.contentdm.oclc.org/digital/collection/CPB01/id/8601/rec/1"">the Chicago Public Library</a>",http://rightsstatements.org/vocab/NKC/1.0/,pdf,objects/columbine_program.pdf,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/8601/default.jpg,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/8601/default.jpg,,
clt004,,"Chicago Little Theatre, Philanderer (November 19, 1914)",Bernard Shaw; Maurice Brown; Ellen Van Volkenburg,"November 19, 1914",Historic program from the third season of the Chicago Little Theatre during which they put on The Philanderer by Bernard Shaw,program,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago Theater Collection-Historic Programs, Chicago Public Library",,Image;StillImage,application/pdf,eng,"Public domain, Accessed at <a href=""https://cdm16818.contentdm.oclc.org/digital/collection/CPB01/id/2196/rec/1"">the Chicago Public Library</a>",http://rightsstatements.org/vocab/NKC/1.0/,pdf,objects/philanderer_program,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/2196/default.jpg,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/2196/default.jpg,,
clt005,,The Wonder Hat,Ben Hecht; Kenneth Sawyer Goodman; Stephen Leacock; Edith Andrews; Maurice Brown; Ellen Van Volkenburg,"May 19, 1916",Historic program from the fifth season of the Chicago Little Theatre during which they put on The Wonder Hat by Ben Hecht and Kenneth Sawyer Goodman and Behind the Beyond by Stephen Leacock and Edith Andrews,playbill,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/8279/rec/3"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",multiple,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8277/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8277/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8277/default.jpg,,
clt005a,clt005,The Wonder Hat,Ben Hecht; Kenneth Sawyer Goodman; Stephen Leacock; Edith Andrews; Maurice Brown; Ellen Van Volkenburg,"May 19, 1916",Historic program from the fifth season of the Chicago Little Theatre during which they put on The Wonder Hat by Ben Hecht and Kenneth Sawyer Goodman and Behind the Beyond by Stephen Leacock and Edith Andrews,playbill,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/8279/rec/3"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8277/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8277/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8277/default.jpg,,
clt005b,clt005,The Wonder Hat,Ben Hecht; Kenneth Sawyer Goodman; Stephen Leacock; Edith Andrews; Maurice Brown; Ellen Van Volkenburg,"May 19, 1916",Historic program from the fifth season of the Chicago Little Theatre during which they put on The Wonder Hat by Ben Hecht and Kenneth Sawyer Goodman and Behind the Beyond by Stephen Leacock and Edith Andrews,playbill,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/8279/rec/3"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8278/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8278/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8278/default.jpg,,
clt006,,"The Grotesques Shadow Magic program, Chicago Little Theatre, 1915",Beryl Hight; Arthur Hight; Cloyd Head; Maurice Brown; Ellen Van Volkenburg,1915,Historic program from the Chicago Little Theatre's fourth season in which The Hindu Gods by Beryl and Arthur Hight and The Grotesques by Cloyd Head were performed,announcement,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/8224/rec/1"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",multiple,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8222/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8222/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8222/default.jpg,,
